Model,Accuracy,Precision,Recall,F1_Score
Logistic Regression,0.9698795180722891,0.9709508881922675,0.96991341991342,0.9700688889479451
Random Forest Classifier,0.9397590361445783,0.9398074310355011,0.9398268398268398,0.9396103896103897
XGBoost Classifier,0.927710843373494,0.9274891774891776,0.9274891774891776,0.9274891774891776
